,Youtuber,Comments,Word Count,Char Length,Polarity Scores,Emotion
16,MrBeast Gaming,love karl doesn’t even get mad jimmy killed last stage,10,54,"{'roberta_neg': 0.13348408, 'roberta_neu': 0.54013014, 'roberta_pos': 0.32638577}",1
17,MrBeast Gaming,it’s kinda rare see jimmy lose challenge,7,40,"{'roberta_neg': 0.18883686, 'roberta_neu': 0.69849724, 'roberta_pos': 0.112665884}",1
19,MrBeast Gaming,chris keep moving jimmy bstops movingb,6,38,"{'roberta_neg': 0.081294954, 'roberta_neu': 0.8213247, 'roberta_pos': 0.0973803}",1
20,MrBeast Gaming,man word much respect mrbeast,5,29,"{'roberta_neg': 0.028290888, 'roberta_neu': 0.2899874, 'roberta_pos': 0.6817217}",2
21,MrBeast Gaming,jimmy raging rare thing see,5,27,"{'roberta_neg': 0.047234155, 'roberta_neu': 0.77279836, 'roberta_pos': 0.17996743}",1
22,MrBeast Gaming,love jimmy raging hard,4,22,"{'roberta_neg': 0.008928243, 'roberta_neu': 0.11635653, 'roberta_pos': 0.8747152}",2
23,MrBeast Gaming,video called “rare footage mrbeast raging”,6,42,"{'roberta_neg': 0.12960303, 'roberta_neu': 0.81182957, 'roberta_pos': 0.058567367}",1
25,MrBeast Gaming,jimmy stays creative 😂,4,22,"{'roberta_neg': 0.015003453, 'roberta_neu': 0.40560812, 'roberta_pos': 0.57938844}",2
26,MrBeast Gaming,anyone see jimmy silently rages mind hehe,7,41,"{'roberta_neg': 0.052045014, 'roberta_neu': 0.855081, 'roberta_pos': 0.092874}",1
28,MrBeast Gaming,fact jimmy rage quit something ya dont see every day,10,52,"{'roberta_neg': 0.42024258, 'roberta_neu': 0.5229232, 'roberta_pos': 0.056834284}",1
29,MrBeast Gaming,alternate title jimmy gets mad arrows chris laughs misfortune,9,61,"{'roberta_neg': 0.2991588, 'roberta_neu': 0.6470185, 'roberta_pos': 0.053822763}",1
30,MrBeast Gaming,i39ve literally spending winter break watching mrbeast videos,8,61,"{'roberta_neg': 0.34065652, 'roberta_neu': 0.5418452, 'roberta_pos': 0.117498286}",1
31,MrBeast Gaming,backfired badly jimmy 🤣,4,23,"{'roberta_neg': 0.761371, 'roberta_neu': 0.21976674, 'roberta_pos': 0.018862259}",0
32,MrBeast Gaming,builds maps maps look beautiful wish someone build maps,9,55,"{'roberta_neg': 0.004928129, 'roberta_neu': 0.04380846, 'roberta_pos': 0.9512634}",2
34,MrBeast Gaming,watching video netherite one backtoback figured use exact punishment,9,68,"{'roberta_neg': 0.2206021, 'roberta_neu': 0.76365876, 'roberta_pos': 0.015739141}",1
38,MrBeast Gaming,need friend like chris,4,22,"{'roberta_neg': 0.019650573, 'roberta_neu': 0.6139491, 'roberta_pos': 0.36640024}",1
39,MrBeast Gaming,jimmy39s smile thumbnail never gets old,6,39,"{'roberta_neg': 0.011890648, 'roberta_neu': 0.22092418, 'roberta_pos': 0.76718515}",2
40,MrBeast Gaming,chris chandler pissing jimmy funniest thing i39ve ever seen,9,59,"{'roberta_neg': 0.18284982, 'roberta_neu': 0.43315318, 'roberta_pos': 0.38399696}",1
41,MrBeast Gaming,don’t know seeing jimmy mad brings smile face,8,45,"{'roberta_neg': 0.19733179, 'roberta_neu': 0.6224104, 'roberta_pos': 0.1802578}",1
44,MrBeast Gaming,imagine trying beat game,4,24,"{'roberta_neg': 0.14089833, 'roberta_neu': 0.77841717, 'roberta_pos': 0.08068447}",1
45,MrBeast Gaming,chris it39s luck i39m dodging arrows brgets hit arrow he39s saying,11,66,"{'roberta_neg': 0.16638806, 'roberta_neu': 0.77897465, 'roberta_pos': 0.05463727}",1
46,MrBeast Gaming,first time hearing jimmy say swear word still legend tho,10,56,"{'roberta_neg': 0.033374246, 'roberta_neu': 0.70760703, 'roberta_pos': 0.25901875}",1
48,MrBeast Gaming,fact chris swore editor edits,5,29,"{'roberta_neg': 0.1596461, 'roberta_neu': 0.8058381, 'roberta_pos': 0.03451576}",1
49,MrBeast Gaming,alternate title rare footage jimmy raging,6,41,"{'roberta_neg': 0.06219964, 'roberta_neu': 0.8981687, 'roberta_pos': 0.03963171}",1
50,MrBeast Gaming,mrbeast need 100000 minecraft tournament like among us,8,54,"{'roberta_neg': 0.04650642, 'roberta_neu': 0.84433556, 'roberta_pos': 0.109157994}",1
51,MrBeast Gaming,mrbeast type guy clean vents among us,7,37,"{'roberta_neg': 0.069871545, 'roberta_neu': 0.7621638, 'roberta_pos': 0.16796462}",1
52,MrBeast Gaming,it’s crazy much minecraft changed years,6,39,"{'roberta_neg': 0.0825353, 'roberta_neu': 0.4548805, 'roberta_pos': 0.4625842}",2
55,MrBeast Gaming,jimmy it39s old don39t even need eatbrchris let39s go get food,11,62,"{'roberta_neg': 0.36933228, 'roberta_neu': 0.54387325, 'roberta_pos': 0.086794466}",1
56,MrBeast Gaming,nostalgia version real remember playing first version minecraft xbox 360 tutorial world much fun back finding diamonds exciting,18,127,"{'roberta_neg': 0.0024616106, 'roberta_neu': 0.038513415, 'roberta_pos': 0.959025}",2
57,MrBeast Gaming,actually scary got dark creepers actually deadly still wish health system hunger bar always terribly designed also isn39t oldest right beta version biggest milestones game alpha 126 beta 173 100,30,194,"{'roberta_neg': 0.8940241, 'roberta_neu': 0.098706454, 'roberta_pos': 0.0072695077}",0
62,MrBeast Gaming,fun fact minecraft version older fortnite players,7,49,"{'roberta_neg': 0.013165659, 'roberta_neu': 0.57500756, 'roberta_pos': 0.41182673}",1
63,MrBeast Gaming,remember used like make house wool light fire version still newest version tho 😂,14,80,"{'roberta_neg': 0.030567586, 'roberta_neu': 0.86230576, 'roberta_pos': 0.10712662}",1
66,MrBeast Gaming,makes proud see far minecraft come fun confusing came,9,53,"{'roberta_neg': 0.0031164708, 'roberta_neu': 0.038189806, 'roberta_pos': 0.9586937}",2
69,MrBeast Gaming,love chris said it39s time mine looked like crafting shovel🤣,10,60,"{'roberta_neg': 0.031092474, 'roberta_neu': 0.39951307, 'roberta_pos': 0.5693944}",2
71,MrBeast Gaming,address fact chris mining iron ore wooden pickaxe,8,49,"{'roberta_neg': 0.06519509, 'roberta_neu': 0.89360225, 'roberta_pos': 0.041202597}",1
72,MrBeast Gaming,don’t love chris mines iron wood pickaxe,7,40,"{'roberta_neg': 0.8799938, 'roberta_neu': 0.10551417, 'roberta_pos': 0.014492035}",0
74,MrBeast Gaming,imagine actually played first version everything flat would content,9,67,"{'roberta_neg': 0.042618014, 'roberta_neu': 0.8540939, 'roberta_pos': 0.10328812}",1
75,MrBeast Gaming,karl’s british accent good karl cant wait find dimonds,9,54,"{'roberta_neg': 0.0021745034, 'roberta_neu': 0.032122042, 'roberta_pos': 0.9657034}",2
76,MrBeast Gaming,everybody laughs chris rages realistic water,6,44,"{'roberta_neg': 0.059777968, 'roberta_neu': 0.5679723, 'roberta_pos': 0.37224972}",1
77,MrBeast Gaming,love carl can39t drag click,5,27,"{'roberta_neg': 0.061544523, 'roberta_neu': 0.35119408, 'roberta_pos': 0.5872614}",2
78,MrBeast Gaming,every mrbeast video amazing matter it39s main channel,8,53,"{'roberta_neg': 0.0039131404, 'roberta_neu': 0.07173267, 'roberta_pos': 0.92435426}",2
79,MrBeast Gaming,amount money would paid going struggle find diamonds get hyped battle nether portal light 😂😂😂,15,93,"{'roberta_neg': 0.090430655, 'roberta_neu': 0.74918944, 'roberta_pos': 0.16037992}",1
82,MrBeast Gaming,literally version i’ve played video made sm sense videos new versions 😂,12,71,"{'roberta_neg': 0.020222887, 'roberta_neu': 0.5713312, 'roberta_pos': 0.40844586}",1
83,MrBeast Gaming,fun factthe alpha version skins steve skin,7,42,"{'roberta_neg': 0.004259882, 'roberta_neu': 0.36174786, 'roberta_pos': 0.63399225}",2
84,MrBeast Gaming,nether existed aren39t oldest update preclassic would oldest time would39ve boring video mrbeast gang playing old minecraft,17,123,"{'roberta_neg': 0.51195705, 'roberta_neu': 0.4391212, 'roberta_pos': 0.048921727}",0
85,MrBeast Gaming,it39s funny they39re trying get food without hunger bar,9,55,"{'roberta_neg': 0.09010785, 'roberta_neu': 0.5634478, 'roberta_pos': 0.34644437}",1
87,MrBeast Gaming,version minecraft played quit instantly lol maybe it39s time revisit years,11,74,"{'roberta_neg': 0.22994435, 'roberta_neu': 0.6157899, 'roberta_pos': 0.15426575}",1
88,MrBeast Gaming,see health bar it39s definitely first ever version minecraft,9,60,"{'roberta_neg': 0.0059358273, 'roberta_neu': 0.3387808, 'roberta_pos': 0.6552834}",2
89,MrBeast Gaming,played minecraft 2015 still first ever xbox one game textures features game new mobs crap changed much past 13 years,20,116,"{'roberta_neg': 0.06067106, 'roberta_neu': 0.66196066, 'roberta_pos': 0.27736822}",1
90,MrBeast Gaming,fun fact actually isn39t first version played classic much different however first survival minecraft ever created,16,114,"{'roberta_neg': 0.024646668, 'roberta_neu': 0.51019865, 'roberta_pos': 0.46515465}",1
91,MrBeast Gaming,fun fact minecraft java alpha 122 till alpha 127 could spawn nether portals pressing f4 ctrl f4,17,95,"{'roberta_neg': 0.031133687, 'roberta_neu': 0.75262016, 'roberta_pos': 0.2162462}",1
93,MrBeast Gaming,chandler karl great friends,4,27,"{'roberta_neg': 0.0026949847, 'roberta_neu': 0.09040571, 'roberta_pos': 0.9068993}",2
96,MrBeast Gaming,actually remember first time playing minecraft red beds hunger bar couldn39t equip items offhand,14,96,"{'roberta_neg': 0.6807935, 'roberta_neu': 0.3013677, 'roberta_pos': 0.017838737}",0
97,MrBeast Gaming,like chris started mining iron wooden pickaxe,7,45,"{'roberta_neg': 0.11972852, 'roberta_neu': 0.84271175, 'roberta_pos': 0.03755973}",1
98,MrBeast Gaming,karl girlfriend brall female karl fans allow us introduce,9,57,"{'roberta_neg': 0.019856866, 'roberta_neu': 0.9086023, 'roberta_pos': 0.0715409}",1
100,MrBeast Gaming,subscribe video,2,15,"{'roberta_neg': 0.08387834, 'roberta_neu': 0.80408525, 'roberta_pos': 0.112036385}",1
101,MrBeast Gaming,jimmy delivering even last day year kudos man happy new year ❤,12,62,"{'roberta_neg': 0.0011534085, 'roberta_neu': 0.011465486, 'roberta_pos': 0.9873811}",2
102,MrBeast Gaming,kudos jimmy delivering even last day year happy new year,10,56,"{'roberta_neg': 0.0012748882, 'roberta_neu': 0.014891534, 'roberta_pos': 0.9838336}",2
103,MrBeast Gaming,mr beast straight boss joy brings peoples lifes honesty inspiring dude crew make want better human,16,98,"{'roberta_neg': 0.00799272, 'roberta_neu': 0.10256134, 'roberta_pos': 0.8894459}",2
104,MrBeast Gaming,i’m happy jimmy lets us see people’s beautiful creations☺️😀☺️,9,61,"{'roberta_neg': 0.0009647645, 'roberta_neu': 0.012515456, 'roberta_pos': 0.9865198}",2
105,MrBeast Gaming,know guy wanted see family kitchen build way better imo,10,55,"{'roberta_neg': 0.02208588, 'roberta_neu': 0.31479582, 'roberta_pos': 0.6631183}",2
106,MrBeast Gaming,love consistent yet different every episode,6,43,"{'roberta_neg': 0.012019423, 'roberta_neu': 0.17385434, 'roberta_pos': 0.81412625}",2
107,MrBeast Gaming,love almost none objects judged well built,7,42,"{'roberta_neg': 0.13682187, 'roberta_neu': 0.49868923, 'roberta_pos': 0.3644889}",1
109,MrBeast Gaming,imagine putting heart soul building something chance win hit quoti dont get itquot quoti cant buy thatquot,17,106,"{'roberta_neg': 0.45103237, 'roberta_neu': 0.4772997, 'roberta_pos': 0.071667954}",1
111,MrBeast Gaming,ngl got 10 probably would made big mac,8,38,"{'roberta_neg': 0.015208555, 'roberta_neu': 0.67004883, 'roberta_pos': 0.3147426}",1
112,MrBeast Gaming,love much energy making videos world,6,36,"{'roberta_neg': 0.011381278, 'roberta_neu': 0.13912278, 'roberta_pos': 0.849496}",2
113,MrBeast Gaming,love videos man truly angel straight heaven give much family going rough patch money i39m glad still watch videos makes happy see help others,24,141,"{'roberta_neg': 0.0038420288, 'roberta_neu': 0.028667858, 'roberta_pos': 0.96749014}",2
114,MrBeast Gaming,jimmy actually best content crator history far,7,46,"{'roberta_neg': 0.0035559624, 'roberta_neu': 0.07745245, 'roberta_pos': 0.9189916}",2
115,MrBeast Gaming,feel happy person gonna go see family,7,37,"{'roberta_neg': 0.0013828014, 'roberta_neu': 0.051697943, 'roberta_pos': 0.94691926}",2
116,MrBeast Gaming,he’s gonna need another 50k finish throne lol i’m betting anything it’s like footstool,14,86,"{'roberta_neg': 0.05896259, 'roberta_neu': 0.7720189, 'roberta_pos': 0.16901852}",1
117,MrBeast Gaming,feel bad person built mario especially look lost 😭,9,50,"{'roberta_neg': 0.89321905, 'roberta_neu': 0.097129226, 'roberta_pos': 0.009651674}",0
118,MrBeast Gaming,need great content keep great work 👍,7,36,"{'roberta_neg': 0.0046423133, 'roberta_neu': 0.063055225, 'roberta_pos': 0.9323025}",2
119,MrBeast Gaming,fantastic builds love,3,21,"{'roberta_neg': 0.0068231137, 'roberta_neu': 0.10190166, 'roberta_pos': 0.8912753}",2
120,MrBeast Gaming,im happy see spread love help people,7,36,"{'roberta_neg': 0.0016987525, 'roberta_neu': 0.0231353, 'roberta_pos': 0.97516596}",2
121,MrBeast Gaming,isn’t guy building 13k pound drum barbecue sauce family friendly,10,64,"{'roberta_neg': 0.10581352, 'roberta_neu': 0.79193234, 'roberta_pos': 0.10225425}",1
122,MrBeast Gaming,swifts toilet master piece,4,26,"{'roberta_neg': 0.1252949, 'roberta_neu': 0.79814714, 'roberta_pos': 0.07655797}",1
123,MrBeast Gaming,love makes games us 😍😍😍😍😍😍,5,26,"{'roberta_neg': 0.0038946874, 'roberta_neu': 0.027073411, 'roberta_pos': 0.96903193}",2
124,MrBeast Gaming,best thing kn episode diverse mexican chef cooking chinese food italian restaurant,12,82,"{'roberta_neg': 0.0021825316, 'roberta_neu': 0.046792313, 'roberta_pos': 0.9510252}",2
125,MrBeast Gaming,i39m kinda sad don39t get see finished throne money,9,51,"{'roberta_neg': 0.88096726, 'roberta_neu': 0.10971835, 'roberta_pos': 0.009314403}",0
128,MrBeast Gaming,great way end year hope see content 2023 jimmy keep,10,51,"{'roberta_neg': 0.0018441248, 'roberta_neu': 0.025964404, 'roberta_pos': 0.9721915}",2
129,MrBeast Gaming,mr beast love ur vids love ur channel love people giving money prizes overall amazing person agood day,18,102,"{'roberta_neg': 0.0021214536, 'roberta_neu': 0.008433712, 'roberta_pos': 0.9894448}",2
130,MrBeast Gaming,never let know next move quotbuilds worldquot,7,45,"{'roberta_neg': 0.21068849, 'roberta_neu': 0.7189994, 'roberta_pos': 0.07031213}",1
131,MrBeast Gaming,love comedy makes people laugh people competing get zero lol,10,60,"{'roberta_neg': 0.047247645, 'roberta_neu': 0.19827083, 'roberta_pos': 0.75448155}",2
132,MrBeast Gaming,hope day get selected mr beast contest would awesome,9,52,"{'roberta_neg': 0.0016311274, 'roberta_neu': 0.028503336, 'roberta_pos': 0.96986556}",2
133,MrBeast Gaming,want see throne,3,15,"{'roberta_neg': 0.09063128, 'roberta_neu': 0.80444103, 'roberta_pos': 0.10492776}",1
135,MrBeast Gaming,honestly couldn’t love mr beast always changing someone’s life❤,9,63,"{'roberta_neg': 0.012795812, 'roberta_neu': 0.08698698, 'roberta_pos': 0.9002172}",2
136,MrBeast Gaming,felt bad one man 0 5 grand😂😂😂,7,29,"{'roberta_neg': 0.70375186, 'roberta_neu': 0.2648578, 'roberta_pos': 0.031390402}",0
137,MrBeast Gaming,wanna see guys build something boys compete,7,43,"{'roberta_neg': 0.02578931, 'roberta_neu': 0.6285498, 'roberta_pos': 0.34566092}",1
138,MrBeast Gaming,cool game gotten 25000 one would chosen small car able transport work hahaha,13,76,"{'roberta_neg': 0.0060818093, 'roberta_neu': 0.14248405, 'roberta_pos': 0.8514341}",2
139,MrBeast Gaming,happy new years mrbeast crew know you39ll go even bigger heights 2023,12,69,"{'roberta_neg': 0.0007812591, 'roberta_neu': 0.014391538, 'roberta_pos': 0.98482716}",2
140,MrBeast Gaming,it39s people like made start streaming gaming keep bro awesome dude,11,67,"{'roberta_neg': 0.0039509847, 'roberta_neu': 0.049920563, 'roberta_pos': 0.9461285}",2
141,MrBeast Gaming,man always tries something new extra ordinary make audience feel excited every next video love,15,94,"{'roberta_neg': 0.0030485347, 'roberta_neu': 0.03552278, 'roberta_pos': 0.96142876}",2
143,MrBeast Gaming,hey whats love content uplifting see everything keep,8,52,"{'roberta_neg': 0.0024637892, 'roberta_neu': 0.046898983, 'roberta_pos': 0.9506372}",2
144,MrBeast Gaming,twitter comment guy sure 😂😭 surprise🎉,6,37,"{'roberta_neg': 0.0034556228, 'roberta_neu': 0.08270612, 'roberta_pos': 0.9138383}",2
145,MrBeast Gaming,imagine finally getting mr beast minecraft challenge get 10 dollar prize 💀💀💀,12,76,"{'roberta_neg': 0.104267664, 'roberta_neu': 0.51463807, 'roberta_pos': 0.38109428}",1
146,MrBeast Gaming,imagine best build 10 dollar plot 💀,7,35,"{'roberta_neg': 0.24688904, 'roberta_neu': 0.63122904, 'roberta_pos': 0.121881895}",1
147,MrBeast Gaming,keep good deeds man wish could things people,8,44,"{'roberta_neg': 0.02730436, 'roberta_neu': 0.33490732, 'roberta_pos': 0.6377883}",2
148,MrBeast Gaming,aun esta disponible el servidor,5,31,"{'roberta_neg': 0.21112344, 'roberta_neu': 0.67471635, 'roberta_pos': 0.11416024}",1
149,MrBeast Gaming,imagine wanting diamond make scenery around said diamond jimmy doesn’t understand 😂😂😂,12,85,"{'roberta_neg': 0.33975223, 'roberta_neu': 0.58010364, 'roberta_pos': 0.08014413}",1
151,MrBeast Gaming,it39s nice see many tnts explode without laggs 😂,9,48,"{'roberta_neg': 0.012203739, 'roberta_neu': 0.11180232, 'roberta_pos': 0.8759939}",2
152,MrBeast Gaming,would like thank editors great edits put videos great effort put videos,12,71,"{'roberta_neg': 0.008374624, 'roberta_neu': 0.08880035, 'roberta_pos': 0.90282506}",2
153,MrBeast Gaming,love gets straight point click bait like can39t real,9,52,"{'roberta_neg': 0.6714589, 'roberta_neu': 0.2874817, 'roberta_pos': 0.04105938}",0
154,MrBeast Gaming,first problem pretty much proves monte carlo paradox first door’s reveal door didn’t pick 66 chance higher rewadd,18,113,"{'roberta_neg': 0.57279456, 'roberta_neu': 0.39509064, 'roberta_pos': 0.032114837}",0
155,MrBeast Gaming,it’s funny nolan says “that hurts” loses 10 k lost island lol,12,61,"{'roberta_neg': 0.20218572, 'roberta_neu': 0.5796992, 'roberta_pos': 0.21811505}",1
157,MrBeast Gaming,love zooms like “pretty easy” like something karl’s friends messed,10,66,"{'roberta_neg': 0.2276457, 'roberta_neu': 0.5080275, 'roberta_pos': 0.26432684}",1
158,MrBeast Gaming,take moment recognise time effort editors put videos,8,52,"{'roberta_neg': 0.08500073, 'roberta_neu': 0.80517036, 'roberta_pos': 0.10982883}",1
159,MrBeast Gaming,let’s salute fact mango good sport,6,34,"{'roberta_neg': 0.007324135, 'roberta_neu': 0.13497764, 'roberta_pos': 0.85769826}",2
160,MrBeast Gaming,funniest thing karl taking hit zhongli genshin impact gameplay 😂😂😂😂😂 like dude best shielder game 😂😂,16,100,"{'roberta_neg': 0.0074301376, 'roberta_neu': 0.09093863, 'roberta_pos': 0.9016312}",2
163,MrBeast Gaming,fact still gave 1k even tho lost brhe deserves this👑,10,52,"{'roberta_neg': 0.009453952, 'roberta_neu': 0.20437711, 'roberta_pos': 0.78616893}",2
165,MrBeast Gaming,man mr beast sweet even someone fails challenge still give money,11,64,"{'roberta_neg': 0.04965702, 'roberta_neu': 0.40020472, 'roberta_pos': 0.5501383}",2
166,MrBeast Gaming,mrbeast person intro outro 100 video pure content need beast burger aus,12,71,"{'roberta_neg': 0.051983, 'roberta_neu': 0.7994414, 'roberta_pos': 0.1485756}",1
168,MrBeast Gaming,hey jimmy even though won39t see wanted say thanks much generosity kindness challenges even though ill probably never one they39re still great watch lt3,24,152,"{'roberta_neg': 0.007295625, 'roberta_neu': 0.0767352, 'roberta_pos': 0.9159692}",2
169,MrBeast Gaming,primo geovishap miniboss boss still it39s pretty cool see chris karl play genshin impact,14,88,"{'roberta_neg': 0.0011846211, 'roberta_neu': 0.026875194, 'roberta_pos': 0.9719402}",2
171,MrBeast Gaming,love reaction everyone’s face 10000 crazy,6,41,"{'roberta_neg': 0.013168547, 'roberta_neu': 0.08845212, 'roberta_pos': 0.8983793}",2
172,MrBeast Gaming,hurts see karl use zhongli deals little damage,8,46,"{'roberta_neg': 0.66104126, 'roberta_neu': 0.32947817, 'roberta_pos': 0.009480536}",0
174,MrBeast Gaming,love mrbeast also gives losers monetary reward don39t feel bad,10,62,"{'roberta_neg': 0.43994573, 'roberta_neu': 0.41456154, 'roberta_pos': 0.14549273}",0
175,MrBeast Gaming,love mr beast give money even lose challenge❤️💙💛❤️💛💙,8,52,"{'roberta_neg': 0.0037119533, 'roberta_neu': 0.039777532, 'roberta_pos': 0.95651054}",2
176,MrBeast Gaming,love good character used beat primo geovishap zhongli,8,53,"{'roberta_neg': 0.0048917923, 'roberta_neu': 0.101600885, 'roberta_pos': 0.89350736}",2
177,MrBeast Gaming,damn wanna play coop genshin lt3,6,32,"{'roberta_neg': 0.02087915, 'roberta_neu': 0.6269593, 'roberta_pos': 0.35216156}",1
178,MrBeast Gaming,love first dudes vibe “more started with”,7,41,"{'roberta_neg': 0.005088521, 'roberta_neu': 0.1561121, 'roberta_pos': 0.8387994}",2
180,MrBeast Gaming,love nolan he39s hilarious love voice videos,7,44,"{'roberta_neg': 0.0036991807, 'roberta_neu': 0.013787472, 'roberta_pos': 0.98251337}",2
181,MrBeast Gaming,“the hardest boss genshin impact”brbcut chris karl beating it’s assb,10,68,"{'roberta_neg': 0.44604418, 'roberta_neu': 0.4861444, 'roberta_pos': 0.06781144}",1
182,MrBeast Gaming,revealed yellow door 0 66 chance red door 10k,9,45,"{'roberta_neg': 0.030967852, 'roberta_neu': 0.9273281, 'roberta_pos': 0.04170403}",1
184,MrBeast Gaming,man either ruins everyone’s hopes dreams makes come true,9,56,"{'roberta_neg': 0.5820275, 'roberta_neu': 0.36319286, 'roberta_pos': 0.054779675}",0
185,MrBeast Gaming,i’m glad ish prius he’s one favorite recurring characters channel,10,65,"{'roberta_neg': 0.0013549541, 'roberta_neu': 0.021729333, 'roberta_pos': 0.9769157}",2
186,MrBeast Gaming,f2p player genshin surprised chris karl got actual 5 characters zhongli especially hu tao xiao crying,16,101,"{'roberta_neg': 0.1759253, 'roberta_neu': 0.67444557, 'roberta_pos': 0.1496291}",1
188,MrBeast Gaming,they’re geovishops azdaha harder primo geovishop,6,48,"{'roberta_neg': 0.087245405, 'roberta_neu': 0.8681243, 'roberta_pos': 0.04463022}",1
189,MrBeast Gaming,maze challenge five teams someone team sabotaging order move forward quicker,11,76,"{'roberta_neg': 0.18597572, 'roberta_neu': 0.7315415, 'roberta_pos': 0.08248272}",1
190,MrBeast Gaming,crazy think karl’s still goofy,5,30,"{'roberta_neg': 0.55250597, 'roberta_neu': 0.39870816, 'roberta_pos': 0.04878585}",0
191,MrBeast Gaming,seeing karl chris playing genshin makes happy,7,45,"{'roberta_neg': 0.001269718, 'roberta_neu': 0.043981377, 'roberta_pos': 0.95474887}",2
192,MrBeast Gaming,one thing scarier tires rolling fact tires circle,8,49,"{'roberta_neg': 0.7083625, 'roberta_neu': 0.27695715, 'roberta_pos': 0.014680293}",0
193,MrBeast Gaming,waiting patiently new videos mrbeast it39s channel worth watching whole day every day,13,85,"{'roberta_neg': 0.0015423405, 'roberta_neu': 0.03734128, 'roberta_pos': 0.9611163}",2
194,MrBeast Gaming,even time primo geovishap wasn’t hardest boss 😂😂,8,48,"{'roberta_neg': 0.07855957, 'roberta_neu': 0.65538603, 'roberta_pos': 0.26605436}",1
195,MrBeast Gaming,it’s funny karl’s meant good didn’t kill contestant sword karl died fall damage,13,79,"{'roberta_neg': 0.12882677, 'roberta_neu': 0.6262537, 'roberta_pos': 0.24491948}",1
197,MrBeast Gaming,satisfying dude escaped karl 10k rooting 😂,7,42,"{'roberta_neg': 0.007827359, 'roberta_neu': 0.21118063, 'roberta_pos': 0.780992}",2
199,MrBeast Gaming,sería bueno que mr beast tenga un canal de mr beast gaming en español ya que de seguro hay mucha gente que desea ver mr beast jugar sin tener que utilizar subtitulos,32,165,"{'roberta_neg': 0.072418995, 'roberta_neu': 0.83124137, 'roberta_pos': 0.09633965}",1
200,MrBeast Gaming,love everyone trying get high iq plays lazar jus fun,10,52,"{'roberta_neg': 0.0033890966, 'roberta_neu': 0.024392933, 'roberta_pos': 0.972218}",2
201,MrBeast Gaming,dream immediatly kills front danibralso dream clutches 1 v 6,10,60,"{'roberta_neg': 0.6060647, 'roberta_neu': 0.3806169, 'roberta_pos': 0.013318414}",0
202,MrBeast Gaming,thank dani making allowing yet small good amount content,9,56,"{'roberta_neg': 0.0068412675, 'roberta_neu': 0.12691382, 'roberta_pos': 0.86624485}",2
203,MrBeast Gaming,feels like jack lazar could brothers equally funny 😂,9,52,"{'roberta_neg': 0.020898687, 'roberta_neu': 0.27549747, 'roberta_pos': 0.7036038}",2
204,MrBeast Gaming,“honestly i’m voting making wake early” literally 😂,8,51,"{'roberta_neg': 0.11315983, 'roberta_neu': 0.71190536, 'roberta_pos': 0.17493486}",1
206,MrBeast Gaming,dream gets imposter twice row brdream gets seen killing front someone row gets voted brdream starts making mr beast cover act murder,22,132,"{'roberta_neg': 0.8037529, 'roberta_neu': 0.1914066, 'roberta_pos': 0.004840583}",0
209,MrBeast Gaming,whenever dream plays among us crewmate impooster always sus,9,59,"{'roberta_neg': 0.061087996, 'roberta_neu': 0.86117744, 'roberta_pos': 0.07773448}",1
